Experiment,Channel,Section,Treatment,Body_Mass,WARP1,WARP2
Exp_1_Experimental_Streams,A,4,GH,11.92,0.00638177,0.004058802
Exp_1_Experimental_Streams,A,4,GH,9.65,-0.004839077,-0.017293659
Exp_1_Experimental_Streams,A,4,GH,8.01,-0.008737158,-0.000197752
Exp_1_Experimental_Streams,A,4,GH,10.42,0.007126365,0.001399213
Exp_1_Experimental_Streams,A,4,GH,9.36,0.001051042,0.004742643
Exp_1_Experimental_Streams,A,4,GH,7.56,-0.003603072,0.006567633
Exp_1_Experimental_Streams,A,4,GH,8.59,-0.01891163,-0.001542967
Exp_1_Experimental_Streams,A,4,GH,5.88,-0.014791573,0.012098331
Exp_1_Experimental_Streams,A,4,GH,5.49,-0.008975068,0.011396655
Exp_1_Experimental_Streams,A,4,GH,6.17,-0.006356889,0.010211092
Exp_1_Experimental_Streams,A,4,GH,8.38,-0.016713031,0.005735985
Exp_1_Experimental_Streams,A,4,GH,4.52,-0.019123073,0.009171033
Exp_1_Experimental_Streams,A,4,GH,4.68,-0.0209254,0.001816218
Exp_1_Experimental_Streams,A,4,GH,5.36,-0.013179495,0.00093983
Exp_1_Experimental_Streams,A,4,GH,4.09,-0.019051123,0.00816894
Exp_1_Experimental_Streams,A,4,GH,4.98,-0.009833208,-0.001910446
Exp_1_Experimental_Streams,B,7,GH,18.61,0.024705202,-0.000439308
Exp_1_Experimental_Streams,B,7,GH,11.12,0.005253545,-0.004263558
Exp_1_Experimental_Streams,B,7,GH,15.02,0.001358925,-0.011340361
Exp_1_Experimental_Streams,B,7,GH,10.13,0.006217316,0.0027952
Exp_1_Experimental_Streams,B,7,GH,12.19,0.006750849,0.000452298
Exp_1_Experimental_Streams,B,7,GH,11.04,0.009156306,0.009353364
Exp_1_Experimental_Streams,B,7,GH,8.81,0.004593219,0.014097131
Exp_1_Experimental_Streams,B,7,GH,14.46,0.01138772,-0.006636456
Exp_1_Experimental_Streams,B,7,GH,7.45,-0.002763563,0.016262069
Exp_1_Experimental_Streams,B,7,GH,11.64,-0.001161069,0.005851957
Exp_1_Experimental_Streams,B,7,GH,11.57,0.004456913,-0.002103511
Exp_1_Experimental_Streams,B,7,GH,9.22,-0.002441543,0.003441239
Exp_1_Experimental_Streams,B,7,GH,9.08,0.002329893,0.00259377
Exp_1_Experimental_Streams,B,7,GH,9.08,0.000745448,-0.0020334
Exp_1_Experimental_Streams,B,4,GH,9.03,0.004159606,0.002552511
Exp_1_Experimental_Streams,B,7,GH,5.69,-0.002688029,0.013255987
