Experiment,Block,Stream_Mesocosm,Treatment,Treatment_Mesocosm,Body_Mass,N_Excretion,P_Excretion
Exp_3_Stream_Mesocosms,E,17,Sham,Sham,5.4,3.90355233,0.238002415
Exp_3_Stream_Mesocosms,E,17,Sham,Sham,6.37,9.863493581,0.594522914
Exp_3_Stream_Mesocosms,E,17,Sham,Sham,3.85,4.01386184,0.536409965
Exp_3_Stream_Mesocosms,E,17,Sham,Sham,2.91,4.663561077,0.521037868
Exp_3_Stream_Mesocosms,E,18,GH,GH,4.04,4.520284327,0.175227059
Exp_3_Stream_Mesocosms,E,18,GH,GH,4.7,4.817516133,0.284589947
Exp_3_Stream_Mesocosms,E,18,GH,GH,6.87,6.298129114,0.456020028
Exp_3_Stream_Mesocosms,E,18,GH,GH,3.18,4.506745071,0.309771147
Exp_3_Stream_Mesocosms,E,18,GH,GH,4.4,2.606487195,0.28170069
Exp_3_Stream_Mesocosms,E,18,GH,GH,5.7,4.74801373,0.273705845
Exp_3_Stream_Mesocosms,E,19,GH,GH_LD,5.77,9.327089394,0.215153479
Exp_3_Stream_Mesocosms,E,19,GH,GH_LD,5.86,13.07160552,0.282171493
Exp_3_Stream_Mesocosms,E,19,GH,GH_LD,4.93,12.2251995,0.326016677
Exp_3_Stream_Mesocosms,E,19,GH,GH_LD,4.93,6.173022432,0.273407091
Exp_3_Stream_Mesocosms,E,19,GH,GH_LD,6.54,15.52637453,0.220845713
